Name,Operate Own Transpo?,Border Method,Counterintel?,Jimbo,Stevie,Margalo,Criminal Record?,Need to meet?,# Past Deals w/ Them,Max Qty Avail,Price ($/kg)
Dima,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,730,7051
Dmitry,Y,MULE,N,Y,N,Y,Y,N,0,618,7060
Dougie D,N,SHIPPING CONTAINER,N,N,N,N,N,Y,0,714,7223
Drew,N,RESERVATION,N,Y,N,N,Y,Y,0,614,7242
Duan,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,2,2690,7645
Egor,N,GO-FAST BOAT,N,N,N,Y,Y,Y,0,760,7126
Elaine,N,SUB,N,Y,N,Y,N,N,3,4267,7314
Emil,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,719,7233
Emilio,N,RESERVATION,N,Y,N,N,Y,Y,1,863,6922
Eric,N,MULE,N,Y,N,Y,Y,Y,0,556,7371
Erik,N,GO-FAST BOAT,N,Y,N,N,Y,Y,3,771,7311
Escobar,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,931,7049
Esposito,Y,MULE,N,Y,N,N,N,Y,0,587,7251
Eva,N,MULE,N,Y,Y,N,Y,Y,0,950,6807
Fabio,N,GO-FAST BOAT,N,Y,N,N,Y,Y,0,900,6836
Felix,N,RESERVATION,N,N,Y,N,Y,Y,4,593,7145
Feng,N,SUB,N,Y,N,Y,N,N,3,2366,7730
Ferrari,N,RESERVATION,N,Y,N,Y,N,Y,0,541,7266
Fiona,Y,SUB,Y,Y,N,Y,N,N,4,3773,7667
Florian,Y,GO-FAST BOAT,N,N,Y,N,Y,Y,0,574,6973
Frank Lucas,N,RESERVATION,N,Y,N,N,Y,Y,0,632,7162
Fuentes,Y,SHIPPING CONTAINER,N,N,N,Y,N,Y,0,541,7179
Funke,Y,GO-FAST BOAT,Y,Y,N,Y,N,N,3,3663,7605
Gabriela,N,RESERVATION,N,Y,N,Y,N,Y,0,895,6831
Gallo,N,MULE,N,Y,N,N,Y,Y,0,868,7133
Garcia,N,RESERVATION,N,N,Y,Y,N,Y,0,635,6851
Gaviria,N,GO-FAST BOAT,N,N,Y,N,N,Y,0,656,7232
Gilberto,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,903,7253
Giordano,N,MULE,N,Y,N,N,N,Y,0,919,7128
Gleb,Y,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,900,6867
Greco,N,RESERVATION,N,Y,N,N,N,Y,0,614,6979
Guillen,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,599,7290
Guo,Y,SUB,Y,Y,Y,Y,N,N,2,3127,7762
Guzman,N,GO-FAST BOAT,N,N,N,N,Y,Y,0,758,6882
Han,Y,SHIPPING CONTAINER,Y,Y,N,Y,N,N,3,3356,7517
Hao,N,SUB,Y,Y,Y,Y,N,N,2,2159,7878
Hasan,N,RESERVATION,N,Y,N,Y,Y,Y,0,505,6945
Helena,N,SHIPPING CONTAINER,Y,Y,N,N,N,N,0,2614,7496
Howard,N,SHIPPING CONTAINER,N,N,N,N,N,Y,0,933,6862
Hu,Y,SUB,Y,Y,N,N,N,N,3,4876,7900
Igor,N,SHIPPING CONTAINER,N,N,N,N,N,Y,0,741,7333
Ilya,N,MULE,N,Y,N,N,N,Y,0,822,7066
Isaac,Y,MULE,N,Y,N,Y,N,Y,0,502,7116
Ismael,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,605,7160
Ivan,Y,RESERVATION,N,N,N,N,N,Y,0,912,7191
Jack,Y,SUB,Y,Y,N,Y,Y,N,4,2053,7603
Jake,N,MULE,N,Y,N,Y,Y,Y,0,884,7017
Jane,N,SUB,Y,Y,Y,Y,N,N,2,3802,7435
Jaro,Y,SHIPPING CONTAINER,N,Y,N,N,N,Y,0,557,6842
Jenny,N,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,0,700,6914
Jesse,N,GO-FAST BOAT,N,N,N,N,N,Y,0,755,6881
Jiang,N,SUB,N,Y,N,Y,N,N,3,4760,7883
Jimmy Two Times,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,868,7400
Jing,Y,SUB,N,Y,N,Y,N,N,4,2985,7305
Joaquin,N,RESERVATION,N,Y,N,Y,Y,Y,0,575,7194
Job,N,SUB,Y,Y,N,Y,N,N,4,4484,7552
Jorg,N,SHIPPING CONTAINER,N,Y,N,N,N,Y,0,676,7303
Joy,Y,SUB,Y,Y,N,Y,N,N,1,2681,7510
Judy,Y,SHIPPING CONTAINER,Y,Y,N,Y,N,N,2,2603,7596
Julia,N,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,0,870,6912
Karen,N,RESERVATION,N,Y,N,N,N,Y,0,669,7176
Katja,N,GO-FAST BOAT,N,N,N,N,Y,Y,0,768,7172
Kiki,Y,SHIPPING CONTAINER,N,N,Y,N,Y,Y,0,804,7041
Kirill,N,RESERVATION,N,N,Y,Y,N,Y,0,966,7363
Klaas Bruinsma,N,GO-FAST BOAT,N,Y,N,Y,N,Y,0,547,7156
Klaus,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,940,7077
Kolya,Y,SHIPPING CONTAINER,N,N,N,N,N,Y,0,975,6897
Kostya,Y,GO-FAST BOAT,N,N,Y,N,Y,Y,0,747,7003
Ksenia,Y,RESERVATION,N,N,Y,Y,Y,Y,0,986,7312
Laszlo,N,RESERVATION,N,N,Y,Y,Y,Y,0,599,6925
Lea,N,GO-FAST BOAT,N,N,N,N,N,Y,0,697,7012
Lena,N,SHIPPING CONTAINER,N,N,N,Y,N,Y,0,664,7119
Lianga,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,1,4429,7865
Lin,N,GO-FAST BOAT,Y,Y,N,Y,N,N,2,2273,7480
Loera,Y,RESERVATION,N,N,Y,N,N,Y,0,953,6956
Lombardi,Y,SHIPPING CONTAINER,N,N,N,Y,Y,Y,0,552,7327
Lorelai,N,GO-FAST BOAT,N,N,N,N,Y,Y,0,670,7357
Luka,N,MULE,N,Y,Y,Y,Y,Y,0,674,7378
Luke,Y,RESERVATION,N,N,N,Y,Y,Y,0,700,7395
Luo,N,GO-FAST BOAT,Y,Y,N,N,N,N,3,4044,7689
Ma,N,SUB,N,Y,N,Y,N,N,4,3658,7685
Mancini,N,RESERVATION,N,Y,N,Y,N,Y,0,571,6941
Mandelbrod,N,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,0,960,7342
Mansing,Y,SHIPPING CONTAINER,N,Y,N,Y,Y,N,3,707,7153
Manuel,Y,RESERVATION,N,Y,N,Y,N,Y,0,529,7171
Marcel,N,RESERVATION,N,N,N,Y,N,Y,0,574,7190
Marek,N,SHIPPING CONTAINER,N,N,N,Y,N,Y,0,545,7355
Margarita,N,SUB,Y,Y,N,N,N,N,1,3109,7538
Marina,N,GO-FAST BOAT,N,N,Y,Y,N,Y,0,819,6812
Marino,N,GO-FAST BOAT,N,N,Y,N,Y,Y,0,844,6899
Mario,N,MULE,N,Y,N,N,N,Y,0,561,7286
Marko,Y,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,0,518,7239
Marquist,Y,MULE,N,Y,Y,N,Y,Y,3,609,7306
Marta,N,SUB,Y,Y,N,N,Y,N,1,3086,7678
Martin,N,MULE,N,Y,N,N,N,Y,0,605,6802
Matej,N,RESERVATION,N,N,Y,Y,Y,Y,0,520,7301
Matthew,N,RESERVATION,N,Y,Y,N,Y,Y,0,607,7226
Maxim,N,MULE,N,Y,N,N,Y,Y,0,671,7264
Maximilian,N,MULE,N,Y,N,Y,N,Y,0,550,7116
Mikhail,Y,MULE,N,Y,Y,N,Y,Y,0,670,7361
Miriam,N,RESERVATION,N,N,Y,N,N,Y,0,798,7154
Misha,Y,RESERVATION,N,N,Y,N,Y,Y,0,883,7279
Molly,N,SHIPPING CONTAINER,N,Y,N,Y,N,N,0,534,7280
Moretti,N,MULE,N,Y,N,Y,Y,Y,0,774,6864
Moses,N,MULE,N,Y,N,Y,Y,Y,0,508,6910
Nastya,N,GO-FAST BOAT,N,N,N,Y,N,Y,2,917,7332
Nicky,Y,GO-FAST BOAT,N,N,Y,N,N,Y,0,806,7339
Nikita,N,GO-FAST BOAT,N,Y,N,N,Y,Y,0,989,7179
Nina,Y,MULE,N,Y,N,Y,N,Y,3,849,7028
Noriega,Y,GO-FAST BOAT,N,N,N,Y,Y,Y,0,887,7078
Oksana,N,RESERVATION,N,N,N,N,Y,Y,0,646,7033
Oleg,Y,SHIPPING CONTAINER,N,N,Y,N,Y,Y,0,629,6926
Olga,N,MULE,N,N,Y,N,Y,Y,0,530,7046
Olo,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,628,6958
Orejuela,N,RESERVATION,N,Y,N,N,N,Y,0,794,7033
Oscar,N,GO-FAST BOAT,Y,Y,Y,Y,N,N,4,3281,7800
Osiel,N,RESERVATION,N,N,Y,N,N,Y,0,809,7298
Pablo,Y,MULE,N,Y,N,Y,N,Y,0,971,7059
Pan,N,SUB,N,Y,N,Y,N,N,0,2475,7345
Pasha,N,GO-FAST BOAT,N,N,Y,N,N,Y,0,862,7332
Patrik,Y,RESERVATION,N,Y,N,N,Y,Y,0,559,7189
Paul,N,GO-FAST BOAT,N,Y,N,Y,N,Y,0,616,7152
Pauly D,N,MULE,N,Y,N,Y,Y,Y,0,779,7128
Pauly E,Y,MULE,N,Y,N,N,N,Y,0,644,6864
Pauly F,N,RESERVATION,N,N,Y,N,Y,Y,0,618,7017
Pavel,Y,GO-FAST BOAT,N,N,Y,Y,N,Y,0,575,7286
Peggy,Y,SUB,Y,Y,N,Y,N,N,2,2219,7689
Peng,N,GO-FAST BOAT,Y,Y,N,N,N,N,4,3116,7772
Polina,Y,RESERVATION,N,N,N,N,Y,Y,0,507,7106
Qian,N,SHIPPING CONTAINER,Y,Y,N,Y,Y,N,3,3855,7844
Qiao,N,SUB,Y,Y,N,N,N,N,3,2966,7597
Ralf,N,MULE,N,Y,N,Y,N,Y,0,586,7193
Rene,Y,RESERVATION,N,Y,N,Y,Y,Y,0,991,7011
Ricci,N,MULE,N,Y,N,N,N,Y,0,811,7061
Rizzo,N,SHIPPING CONTAINER,N,N,Y,Y,Y,Y,4,535,6872
Rodion,Y,GO-FAST BOAT,N,N,N,N,Y,Y,0,761,6827
Rodriguez,Y,MULE,N,Y,N,Y,N,Y,0,507,6841
Roland,N,MULE,N,Y,N,N,Y,Y,0,775,7147
Roman,N,RESERVATION,N,Y,N,Y,N,Y,0,909,7022
Romano,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,574,6806
Rory,Y,RESERVATION,N,N,Y,Y,N,Y,0,742,6884
Rossi,N,RESERVATION,N,Y,N,N,N,Y,0,900,6875
Rusian,Y,GO-FAST BOAT,N,N,N,Y,Y,Y,0,892,7048
Russo,N,GO-FAST BOAT,N,N,N,N,N,Y,0,977,6915
Ryan,N,GO-FAST BOAT,N,Y,N,N,Y,Y,2,632,7131
Sasha,Y,GO-FAST BOAT,N,N,N,Y,N,Y,0,970,6879
Scooter,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,828,6802
Scotty,Y,GO-FAST BOAT,N,N,Y,N,Y,Y,0,558,6887
Serge,Y,RESERVATION,N,Y,N,Y,Y,Y,0,684,7360
Sergey,N,MULE,N,Y,N,N,Y,N,2,563,7033
Shen,N,SUB,N,Y,N,Y,N,N,3,3428,7631
Shoshanna,N,MULE,N,Y,Y,Y,N,Y,0,635,6899
Sigourney,N,GO-FAST BOAT,N,Y,N,Y,Y,Y,0,627,7173
Silvia,N,RESERVATION,N,N,N,Y,N,Y,0,779,7364
Skeeter,N,GO-FAST BOAT,N,Y,N,N,Y,Y,0,514,6920
Slavka,N,GO-FAST BOAT,N,N,N,N,N,Y,0,957,7104
Smitty,N,RESERVATION,N,N,N,N,N,Y,0,540,7347
Sofia,N,SUB,Y,Y,N,N,N,N,3,2917,7506
Solo,N,SUB,Y,Y,N,N,Y,N,1,3167,7727
Squiffy,N,SHIPPING CONTAINER,N,N,Y,Y,N,Y,0,513,6936
St. John,Y,MULE,N,Y,N,Y,N,Y,0,853,7188
Sue,N,GO-FAST BOAT,Y,Y,N,Y,N,N,0,2243,7399
Surge,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,563,7186
Svetlana,N,SHIPPING CONTAINER,N,N,N,N,Y,Y,0,811,6983
Takuya,N,SHIPPING CONTAINER,N,N,N,N,N,Y,0,791,7395
Tatiana,Y,GO-FAST BOAT,N,Y,N,Y,Y,Y,0,973,7107
Tobias,N,SUB,Y,Y,N,Y,N,N,3,4065,7769
Tracy,N,GO-FAST BOAT,N,Y,N,N,N,Y,3,845,7240
Tyler,Y,RESERVATION,N,N,N,Y,Y,Y,0,694,7075
Vadim,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,699,7245
Valentin,Y,RESERVATION,N,Y,N,Y,N,Y,0,504,7032
Veronica,N,MULE,N,Y,Y,Y,N,Y,0,575,7014
Vitaly,Y,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,774,7143
Vlad,N,RESERVATION,N,Y,Y,Y,Y,Y,0,959,7360
Vladimir,N,RESERVATION,N,N,Y,N,N,Y,0,766,7161
Vova,N,SUB,Y,Y,N,Y,N,N,3,3297,7416
Waltz,N,GO-FAST BOAT,N,N,N,N,Y,N,0,575,7097
Wei,N,GO-FAST BOAT,Y,Y,Y,N,Y,N,2,4404,7647
Weimar,N,SHIPPING CONTAINER,N,Y,N,N,Y,Y,0,699,6908
Williams,N,MULE,N,Y,N,Y,Y,Y,0,999,7195
Xie,Y,SUB,Y,Y,N,N,Y,N,3,4309,7381
Xiong,N,SUB,Y,Y,N,N,N,N,2,3891,7490
Xu,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,3,4090,7619
Yan,Y,SUB,N,Y,N,Y,N,N,4,3523,7399
Yang,N,SUB,Y,Y,N,N,N,N,0,4772,7805
Yao,N,SHIPPING CONTAINER,Y,Y,N,Y,N,N,0,3511,7869
Yaroslav,N,SHIPPING CONTAINER,N,N,Y,N,N,Y,0,909,7389
Yegor,N,RESERVATION,N,Y,N,Y,Y,Y,0,511,7216
Yuri,Y,SHIPPING CONTAINER,N,N,Y,Y,N,Y,0,715,7338
Zambada,N,RESERVATION,N,N,Y,N,N,Y,0,975,6840
Zhao,N,SUB,N,Y,N,Y,N,N,3,2844,7506
Zheng,N,SUB,N,Y,N,Y,N,N,0,4139,7441
Zhenli Ye Gon,Y,SUB,Y,N,N,Y,Y,Y,0,4000,6900
Zhenya,Y,MULE,N,Y,N,N,Y,Y,0,548,7368
Zhu,N,SUB,Y,Y,Y,Y,N,N,2,3621,7480
Zsolt,N,RESERVATION,N,Y,N,Y,N,Y,0,932,6819
